id,amount,contractor,timestamp,project,description
38,103701,Sharma Infra Ltd,2024-03-11 02:27:06,Road Widening Phase 2,Labor payment
39,192145,BlueRock EPC,2024-02-28 06:39:05,Road Widening Phase 2,Project management fee
40,55622,GreenEarth Developers,2024-05-22 04:34:57,Housing Project Zone B,Labor payment
41,114313,Unity Builders,2024-04-09 12:31:20,Road Widening Phase 2,Labor payment
42,6029,Skyline Constructions,2024-09-18 18:33:11,Slum Rehabilitation - Sector 12,Machinery rental
43,180781,UrbanLift Engineers,2024-09-18 04:43:04,Housing Project Zone B,Project management fee
44,156783,Unity Builders,2024-12-21 12:57:39,Road Widening Phase 2,Structural work invoice
45,65563,BlueRock EPC,2024-09-17 10:32:37,Metro Line 3 - Subsystem Work,Structural work invoice
46,150458,Skyline Constructions,2024-10-14 09:09:40,Slum Rehabilitation - Sector 12,Labor payment
47,183220,BlueRock EPC,2024-02-07 13:03:16,Slum Rehabilitation - Sector 12,Project management fee
48,34385,MetroBuild Co,2024-05-19 22:03:20,Slum Rehabilitation - Sector 12,Material procurement
49,91881,Unity Builders,2024-06-26 15:17:04,Slum Rehabilitation - Sector 12,Project management fee
50,115867,GreenEarth Developers,2024-03-21 13:02:15,Road Widening Phase 2,Labor payment
51,198159,Unity Builders,2024-02-13 17:40:43,Housing Project Zone B,Machinery rental
52,62549,Omkar Infra,2024-01-19 09:27:48,Housing Project Zone B,Material procurement
53,173435,UrbanLift Engineers,2024-07-03 03:29:14,Metro Line 3 - Subsystem Work,Project management fee
54,166043,Omkar Infra,2024-08-04 16:58:15,Metro Line 3 - Subsystem Work,Structural work invoice
55,180869,BlueRock EPC,2024-09-26 14:19:04,Housing Project Zone B,Material procurement
56,166688,UrbanLift Engineers,2024-06-17 16:13:16,Housing Project Zone B,Material procurement
57,118830,BlueRock EPC,2024-09-09 16:50:16,Road Widening Phase 2,Machinery rental
58,136502,Skyline Constructions,2024-05-11 22:53:01,Housing Project Zone B,Machinery rental
59,118116,Skyline Constructions,2024-09-20 18:17:21,Road Widening Phase 2,Project management fee
60,18444,GreenEarth Developers,2024-11-02 08:36:28,Slum Rehabilitation - Sector 12,Labor payment
61,149815,MetroBuild Co,2024-03-17 13:11:43,Road Widening Phase 2,Structural work invoice
62,115493,Sharma Infra Ltd,2024-01-07 21:16:07,Metro Line 3 - Subsystem Work,Machinery rental
63,86133,MetroBuild Co,2024-07-10 00:26:18,Road Widening Phase 2,Structural work invoice
64,157797,Skyline Constructions,2024-02-14 19:09:21,Housing Project Zone B,Project management fee
65,120962,Unity Builders,2024-03-11 16:27:29,Metro Line 3 - Subsystem Work,Material procurement
66,199442,Unity Builders,2024-02-17 04:28:50,Housing Project Zone B,Labor payment
67,133593,GreenEarth Developers,2024-05-21 20:52:43,Slum Rehabilitation - Sector 12,Material procurement
68,60871,Sharma Infra Ltd,2024-02-15 10:34:47,Housing Project Zone B,Project management fee
69,35003,Skyline Constructions,2024-04-16 05:23:10,Metro Line 3 - Subsystem Work,Labor payment
70,43830,BlueRock EPC,2024-12-13 01:57:17,Road Widening Phase 2,Labor payment
71,72001,Omkar Infra,2024-10-03 18:46:48,Road Widening Phase 2,Structural work invoice
72,124872,GreenEarth Developers,2024-05-15 08:03:04,Slum Rehabilitation - Sector 12,Project management fee
73,34060,GreenEarth Developers,2024-04-12 19:17:51,Housing Project Zone B,Structural work invoice
74,65876,Skyline Constructions,2024-09-11 14:24:11,Road Widening Phase 2,Structural work invoice
75,92839,BlueRock EPC,2024-09-21 01:53:36,Slum Rehabilitation - Sector 12,Machinery rental
76,187948,MetroBuild Co,2024-05-10 10:18:36,Housing Project Zone B,Structural work invoice
77,108807,Unity Builders,2024-07-05 00:41:53,Housing Project Zone B,Project management fee
78,118955,GreenEarth Developers,2024-04-29 21:07:17,Slum Rehabilitation - Sector 12,Labor payment
79,145032,Sharma Infra Ltd,2024-06-07 01:51:33,Housing Project Zone B,Project management fee
80,181018,Skyline Constructions,2024-12-06 19:01:40,Metro Line 3 - Subsystem Work,Machinery rental
81,36106,BlueRock EPC,2024-08-31 02:17:54,Slum Rehabilitation - Sector 12,Project management fee
82,21483,Omkar Infra,2024-11-03 10:29:27,Slum Rehabilitation - Sector 12,Project management fee
83,185981,Sharma Infra Ltd,2024-05-28 23:28:18,Housing Project Zone B,Labor payment
84,56117,Unity Builders,2024-01-17 01:44:09,Slum Rehabilitation - Sector 12,Structural work invoice
85,111845,MetroBuild Co,2024-03-03 10:14:07,Road Widening Phase 2,Structural work invoice
86,137736,GreenEarth Developers,2024-07-23 06:59:49,Slum Rehabilitation - Sector 12,Machinery rental
87,24252,UrbanLift Engineers,2024-03-06 00:15:35,Road Widening Phase 2,Machinery rental
88,30584,Sharma Infra Ltd,2024-10-18 18:06:28,Road Widening Phase 2,Labor payment
89,6653,Skyline Constructions,2024-10-05 21:21:55,Housing Project Zone B,Project management fee
90,86799,MetroBuild Co,2024-08-30 03:28:30,Slum Rehabilitation - Sector 12,Labor payment
91,28687,Skyline Constructions,2024-10-16 13:25:14,Slum Rehabilitation - Sector 12,Material procurement
92,24567,GreenEarth Developers,2024-07-03 08:27:38,Metro Line 3 - Subsystem Work,Labor payment
93,166525,Unity Builders,2024-02-04 11:34:42,Road Widening Phase 2,Labor payment
94,137396,Sharma Infra Ltd,2024-01-26 01:55:19,Metro Line 3 - Subsystem Work,Structural work invoice
95,133473,BlueRock EPC,2024-04-12 22:41:58,Metro Line 3 - Subsystem Work,Project management fee
96,165516,BlueRock EPC,2024-04-25 15:44:07,Housing Project Zone B,Material procurement
97,42107,Omkar Infra,2024-05-17 18:04:15,Slum Rehabilitation - Sector 12,Labor payment
98,158013,UrbanLift Engineers,2024-12-13 12:00:21,Metro Line 3 - Subsystem Work,Project management fee
99,62271,Unity Builders,2024-05-02 12:54:08,Metro Line 3 - Subsystem Work,Machinery rental
100,104539,GreenEarth Developers,2024-06-05 03:48:34,Slum Rehabilitation - Sector 12,Project management fee
101,157640,GreenEarth Developers,2024-02-25 17:43:23,Road Widening Phase 2,Material procurement
102,103346,Skyline Constructions,2024-10-21 22:26:13,Slum Rehabilitation - Sector 12,Structural work invoice
103,104766,Sharma Infra Ltd,2024-06-14 13:45:42,Slum Rehabilitation - Sector 12,Machinery rental
104,157198,Unity Builders,2024-09-10 18:49:26,Metro Line 3 - Subsystem Work,Machinery rental
105,191260,Omkar Infra,2024-01-05 08:28:26,Road Widening Phase 2,Material procurement
106,44808,Skyline Constructions,2024-04-26 12:03:19,Slum Rehabilitation - Sector 12,Material procurement
107,39623,Skyline Constructions,2024-10-23 11:45:34,Road Widening Phase 2,Machinery rental
108,12682,MetroBuild Co,2024-10-15 14:42:20,Road Widening Phase 2,Project management fee
109,117775,BlueRock EPC,2024-06-05 22:13:16,Road Widening Phase 2,Project management fee
110,27513,GreenEarth Developers,2024-10-29 18:18:22,Metro Line 3 - Subsystem Work,Labor payment
111,87973,Skyline Constructions,2024-10-19 20:20:56,Road Widening Phase 2,Project management fee
112,141177,UrbanLift Engineers,2024-07-27 05:44:20,Road Widening Phase 2,Machinery rental
113,10700,MetroBuild Co,2024-05-22 14:27:41,Slum Rehabilitation - Sector 12,Material procurement
114,40187,BlueRock EPC,2024-09-13 19:00:40,Road Widening Phase 2,Project management fee
115,19783,MetroBuild Co,2024-11-11 07:38:02,Metro Line 3 - Subsystem Work,Machinery rental
116,46125,GreenEarth Developers,2024-03-12 17:15:45,Metro Line 3 - Subsystem Work,Project management fee
117,108538,Omkar Infra,2024-01-24 03:29:05,Road Widening Phase 2,Labor payment
118,182784,MetroBuild Co,2024-10-27 01:41:35,Metro Line 3 - Subsystem Work,Machinery rental
119,102873,UrbanLift Engineers,2024-03-29 23:10:44,Metro Line 3 - Subsystem Work,Machinery rental
120,5081,Omkar Infra,2024-09-04 04:00:27,Metro Line 3 - Subsystem Work,Project management fee
121,9902,Omkar Infra,2024-12-12 16:11:27,Road Widening Phase 2,Structural work invoice
122,9902,Omkar Infra,2024-12-12 16:11:27,Road Widening Phase 2,Structural work invoice
123,207182,Sharma Infra Ltd,2024-10-07 17:25:13,Road Widening Phase 2,Labor payment
124,90488,GreenEarth Developers,2024-07-05 02:13:00,Road Widening Phase 2,Labor payment
125,104992,Omkar Infra,2024-02-12 05:34:48,Slum Rehabilitation - Sector 12,Project management fee
